class_name,gt_count,prediction_count,ap50,ap75,ap50_95,ar50_95,confidence_threshold,iou_threshold,tp,fp,fn,precision,recall,f1,mean_matched_iou
hangar,6,23,0.8316831683168316,0.13465346534653466,0.44613861386138615,0.5,0.05,0.5,5,18,1,0.21739130434782608,0.8333333333333334,0.3448275862068966,0.7784732395766751
helicopter,19,28,1.0,1.0,0.822983836845223,0.8421052631578947,0.05,0.5,19,9,0,0.6785714285714286,1.0,0.8085106382978724,0.9015408830716368
jet_plane,22,25,1.0,0.9504950495049505,0.7914674109111316,0.809090909090909,0.05,0.5,22,3,0,0.88,1.0,0.9361702127659575,0.8782719388802818
large_launcher,25,26,1.0,1.0,0.7961355674028942,0.8159999999999998,0.05,0.5,25,1,0,0.9615384615384616,1.0,0.9803921568627451,0.8825168649311709
large_tower,19,46,0.9405940594059405,0.9405940594059405,0.6776371387138714,0.7052631578947367,0.05,0.5,18,28,1,0.391304347826087,0.9473684210526315,0.5538461538461538,0.8475229266589417
medium_launcher,10,76,0.5793301231383643,0.050447901933050446,0.22530169245916187,0.37,0.05,0.5,9,67,1,0.11842105263157894,0.9,0.20930232558139536,0.648466017312868
medium_plane,5,6,1.0,1.0,0.8445544554455445,0.86,0.05,0.5,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.8944498678262842
mine_roller,2,4,1.0,1.0,0.6504950495049505,0.65,0.05,0.5,2,2,0,0.5,1.0,0.6666666666666666,0.7948897635368541
small_launcher,25,52,0.9954822148881552,0.8766122989110505,0.7068923958161253,0.748,0.05,0.5,25,27,0,0.4807692307692308,1.0,0.6493506493506493,0.8470372075195887
small_plane,9,15,1.0,1.0,0.8806034889203207,0.9,0.05,0.5,9,6,0,0.6,1.0,0.7499999999999999,0.9258796136630703
small_tower,20,22,1.0,0.9138613861386137,0.8000106837606837,0.8150000000000001,0.05,0.5,20,2,0,0.9090909090909091,1.0,0.9523809523809523,0.8866653862885148
ta-ta,25,26,1.0,0.9477227722772279,0.7132640264026403,0.756,0.05,0.5,25,1,0,0.9615384615384616,1.0,0.9803921568627451,0.8468243588898905
tank,25,44,0.9603960396039604,0.9603960396039604,0.7846882421546002,0.8160000000000001,0.05,0.5,24,20,1,0.5454545454545454,0.96,0.6956521739130435,0.9039008778524559
condor,11,15,1.0,1.0,0.7993399339933993,0.8181818181818181,0.05,0.5,11,4,0,0.7333333333333333,1.0,0.846153846153846,0.8897232571310877
jammer,13,14,1.0,1.0,0.8392993145468394,0.8692307692307694,0.05,0.5,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9100903058744176
spacecraft,23,25,0.9504950495049505,0.9504950495049505,0.8341604160416042,0.8695652173913044,0.05,0.5,22,3,1,0.88,0.9565217391304348,0.9166666666666666,0.9256217293210983
