frame,frame_index,request_id,status,http_status,http_round_trip_ms,over_333ms,over_3333ms,gt_count,prediction_count,camera_command_ignored,error
0,0,diagnostic-c220fb9eaeea:0:0:1920:1080,ok,200,122.13587400037795,False,False,11,16,False,
1,1,diagnostic-c220fb9eaeea:1:0:1920:1080,ok,200,124.3348040006822,False,False,11,16,False,
2,2,diagnostic-c220fb9eaeea:2:0:1920:1080,ok,200,119.31515700052842,False,False,10,15,False,
3,3,diagnostic-c220fb9eaeea:3:0:1920:1080,ok,200,117.80606399952376,False,False,11,20,False,
4,4,diagnostic-c220fb9eaeea:4:0:1920:1080,ok,200,121.31350100025884,False,False,11,18,False,
5,5,diagnostic-c220fb9eaeea:5:0:1920:1080,ok,200,107.00636900037352,False,False,11,14,False,
6,6,diagnostic-c220fb9eaeea:6:0:1920:1080,ok,200,123.9597160001722,False,False,12,16,False,
7,7,diagnostic-c220fb9eaeea:7:0:1920:1080,ok,200,122.16734499997983,False,False,12,20,False,
8,8,diagnostic-c220fb9eaeea:8:0:1920:1080,ok,200,127.09441100014374,False,False,12,16,False,
9,9,diagnostic-c220fb9eaeea:9:0:1920:1080,ok,200,120.43863299913937,False,False,11,16,False,
10,10,diagnostic-c220fb9eaeea:10:0:1920:1080,ok,200,124.16555600066204,False,False,11,20,False,
11,11,diagnostic-c220fb9eaeea:11:0:1920:1080,ok,200,126.62984599955962,False,False,10,15,False,
12,12,diagnostic-c220fb9eaeea:12:0:1920:1080,ok,200,123.98568200114823,False,False,10,14,False,
13,13,diagnostic-c220fb9eaeea:13:0:1920:1080,ok,200,137.6522020000266,False,False,9,18,False,
14,14,diagnostic-c220fb9eaeea:14:0:1920:1080,ok,200,120.70833799953107,False,False,10,20,False,
15,15,diagnostic-c220fb9eaeea:15:0:1920:1080,ok,200,125.98292299844616,False,False,10,20,False,
16,16,diagnostic-c220fb9eaeea:16:0:1920:1080,ok,200,107.94335100035823,False,False,10,20,False,
17,17,diagnostic-c220fb9eaeea:17:0:1920:1080,ok,200,120.36218799948983,False,False,10,19,False,
18,18,diagnostic-c220fb9eaeea:18:0:1920:1080,ok,200,118.3663030005846,False,False,10,20,False,
19,19,diagnostic-c220fb9eaeea:19:0:1920:1080,ok,200,126.69965100030822,False,False,10,20,False,
20,20,diagnostic-c220fb9eaeea:20:0:1920:1080,ok,200,125.95976600096037,False,False,10,20,False,
21,21,diagnostic-c220fb9eaeea:21:0:1920:1080,ok,200,120.85297199882916,False,False,10,20,False,
22,22,diagnostic-c220fb9eaeea:22:0:1920:1080,ok,200,118.14953800057992,False,False,10,20,False,
23,23,diagnostic-c220fb9eaeea:23:0:1920:1080,ok,200,123.26623199987807,False,False,9,19,False,
24,24,diagnostic-c220fb9eaeea:24:0:1920:1080,ok,200,123.06673499915632,False,False,8,15,False,
