class_name,recall,precision_iou50_interpolated
hangar,0.0,1.0
hangar,0.01,1.0
hangar,0.02,1.0
hangar,0.03,1.0
hangar,0.04,1.0
hangar,0.05,1.0
hangar,0.06,1.0
hangar,0.07,1.0
hangar,0.08,1.0
hangar,0.09,1.0
hangar,0.1,1.0
hangar,0.11,1.0
hangar,0.12,1.0
hangar,0.13,1.0
hangar,0.14,1.0
hangar,0.15,1.0
hangar,0.16,1.0
hangar,0.17,1.0
hangar,0.18,1.0
hangar,0.19,1.0
hangar,0.2,1.0
hangar,0.21,1.0
hangar,0.22,1.0
hangar,0.23,1.0
hangar,0.24,1.0
hangar,0.25,1.0
hangar,0.26,1.0
hangar,0.27,1.0
hangar,0.28,1.0
hangar,0.29,1.0
hangar,0.3,1.0
hangar,0.31,1.0
hangar,0.32,1.0
hangar,0.33,1.0
hangar,0.34,1.0
hangar,0.35000000000000003,1.0
hangar,0.36,1.0
hangar,0.37,1.0
hangar,0.38,1.0
hangar,0.39,1.0
hangar,0.4,1.0
hangar,0.41000000000000003,1.0
hangar,0.42,1.0
hangar,0.43,1.0
hangar,0.44,1.0
hangar,0.45,1.0
hangar,0.46,1.0
hangar,0.47000000000000003,1.0
hangar,0.48,1.0
hangar,0.49,1.0
hangar,0.5,1.0
hangar,0.51,1.0
hangar,0.52,1.0
hangar,0.53,1.0
hangar,0.54,1.0
hangar,0.55,1.0
hangar,0.56,1.0
hangar,0.5700000000000001,1.0
hangar,0.58,1.0
hangar,0.59,1.0
hangar,0.6,1.0
hangar,0.61,1.0
hangar,0.62,1.0
hangar,0.63,1.0
hangar,0.64,1.0
hangar,0.65,1.0
hangar,0.66,1.0
hangar,0.67,1.0
hangar,0.68,1.0
hangar,0.6900000000000001,1.0
hangar,0.7000000000000001,1.0
hangar,0.71,1.0
hangar,0.72,1.0
hangar,0.73,1.0
hangar,0.74,1.0
hangar,0.75,1.0
hangar,0.76,1.0
hangar,0.77,1.0
hangar,0.78,1.0
hangar,0.79,1.0
hangar,0.8,1.0
hangar,0.81,1.0
hangar,0.8200000000000001,1.0
hangar,0.8300000000000001,1.0
hangar,0.84,0.0
hangar,0.85,0.0
hangar,0.86,0.0
hangar,0.87,0.0
hangar,0.88,0.0
hangar,0.89,0.0
hangar,0.9,0.0
hangar,0.91,0.0
hangar,0.92,0.0
hangar,0.93,0.0
hangar,0.9400000000000001,0.0
hangar,0.9500000000000001,0.0
hangar,0.96,0.0
hangar,0.97,0.0
hangar,0.98,0.0
hangar,0.99,0.0
hangar,1.0,0.0
helicopter,0.0,1.0
helicopter,0.01,1.0
helicopter,0.02,1.0
helicopter,0.03,1.0
helicopter,0.04,1.0
helicopter,0.05,1.0
helicopter,0.06,1.0
helicopter,0.07,1.0
helicopter,0.08,1.0
helicopter,0.09,1.0
helicopter,0.1,1.0
helicopter,0.11,1.0
helicopter,0.12,1.0
helicopter,0.13,1.0
helicopter,0.14,1.0
helicopter,0.15,1.0
helicopter,0.16,1.0
helicopter,0.17,1.0
helicopter,0.18,1.0
helicopter,0.19,1.0
helicopter,0.2,1.0
helicopter,0.21,1.0
helicopter,0.22,1.0
helicopter,0.23,1.0
helicopter,0.24,1.0
helicopter,0.25,1.0
helicopter,0.26,1.0
helicopter,0.27,1.0
helicopter,0.28,1.0
helicopter,0.29,1.0
helicopter,0.3,1.0
helicopter,0.31,1.0
helicopter,0.32,1.0
helicopter,0.33,1.0
helicopter,0.34,1.0
helicopter,0.35000000000000003,1.0
helicopter,0.36,1.0
helicopter,0.37,1.0
helicopter,0.38,1.0
helicopter,0.39,1.0
helicopter,0.4,1.0
helicopter,0.41000000000000003,1.0
helicopter,0.42,1.0
helicopter,0.43,1.0
helicopter,0.44,1.0
helicopter,0.45,1.0
helicopter,0.46,1.0
helicopter,0.47000000000000003,1.0
helicopter,0.48,1.0
helicopter,0.49,1.0
helicopter,0.5,1.0
helicopter,0.51,1.0
helicopter,0.52,1.0
helicopter,0.53,1.0
helicopter,0.54,1.0
helicopter,0.55,1.0
helicopter,0.56,1.0
helicopter,0.5700000000000001,1.0
helicopter,0.58,1.0
helicopter,0.59,1.0
helicopter,0.6,1.0
helicopter,0.61,1.0
helicopter,0.62,1.0
helicopter,0.63,1.0
helicopter,0.64,1.0
helicopter,0.65,1.0
helicopter,0.66,1.0
helicopter,0.67,1.0
helicopter,0.68,1.0
helicopter,0.6900000000000001,1.0
helicopter,0.7000000000000001,1.0
helicopter,0.71,1.0
helicopter,0.72,1.0
helicopter,0.73,1.0
helicopter,0.74,1.0
helicopter,0.75,1.0
helicopter,0.76,1.0
helicopter,0.77,1.0
helicopter,0.78,1.0
helicopter,0.79,1.0
helicopter,0.8,1.0
helicopter,0.81,1.0
helicopter,0.8200000000000001,1.0
helicopter,0.8300000000000001,1.0
helicopter,0.84,1.0
helicopter,0.85,1.0
helicopter,0.86,1.0
helicopter,0.87,1.0
helicopter,0.88,1.0
helicopter,0.89,1.0
helicopter,0.9,1.0
helicopter,0.91,1.0
helicopter,0.92,1.0
helicopter,0.93,1.0
helicopter,0.9400000000000001,1.0
helicopter,0.9500000000000001,1.0
helicopter,0.96,1.0
helicopter,0.97,1.0
helicopter,0.98,1.0
helicopter,0.99,1.0
helicopter,1.0,1.0
jet_plane,0.0,1.0
jet_plane,0.01,1.0
jet_plane,0.02,1.0
jet_plane,0.03,1.0
jet_plane,0.04,1.0
jet_plane,0.05,1.0
jet_plane,0.06,1.0
jet_plane,0.07,1.0
jet_plane,0.08,1.0
jet_plane,0.09,1.0
jet_plane,0.1,1.0
jet_plane,0.11,1.0
jet_plane,0.12,1.0
jet_plane,0.13,1.0
jet_plane,0.14,1.0
jet_plane,0.15,1.0
jet_plane,0.16,1.0
jet_plane,0.17,1.0
jet_plane,0.18,1.0
jet_plane,0.19,1.0
jet_plane,0.2,1.0
jet_plane,0.21,1.0
jet_plane,0.22,1.0
jet_plane,0.23,1.0
jet_plane,0.24,1.0
jet_plane,0.25,1.0
jet_plane,0.26,1.0
jet_plane,0.27,1.0
jet_plane,0.28,1.0
jet_plane,0.29,1.0
jet_plane,0.3,1.0
jet_plane,0.31,1.0
jet_plane,0.32,1.0
jet_plane,0.33,1.0
jet_plane,0.34,1.0
jet_plane,0.35000000000000003,1.0
jet_plane,0.36,1.0
jet_plane,0.37,1.0
jet_plane,0.38,1.0
jet_plane,0.39,1.0
jet_plane,0.4,1.0
jet_plane,0.41000000000000003,1.0
jet_plane,0.42,1.0
jet_plane,0.43,1.0
jet_plane,0.44,1.0
jet_plane,0.45,1.0
jet_plane,0.46,1.0
jet_plane,0.47000000000000003,1.0
jet_plane,0.48,1.0
jet_plane,0.49,1.0
jet_plane,0.5,1.0
jet_plane,0.51,1.0
jet_plane,0.52,1.0
jet_plane,0.53,1.0
jet_plane,0.54,1.0
jet_plane,0.55,1.0
jet_plane,0.56,1.0
jet_plane,0.5700000000000001,1.0
jet_plane,0.58,1.0
jet_plane,0.59,1.0
jet_plane,0.6,1.0
jet_plane,0.61,1.0
jet_plane,0.62,1.0
jet_plane,0.63,1.0
jet_plane,0.64,1.0
jet_plane,0.65,1.0
jet_plane,0.66,1.0
jet_plane,0.67,1.0
jet_plane,0.68,1.0
jet_plane,0.6900000000000001,1.0
jet_plane,0.7000000000000001,1.0
jet_plane,0.71,1.0
jet_plane,0.72,1.0
jet_plane,0.73,1.0
jet_plane,0.74,1.0
jet_plane,0.75,1.0
jet_plane,0.76,1.0
jet_plane,0.77,1.0
jet_plane,0.78,1.0
jet_plane,0.79,1.0
jet_plane,0.8,1.0
jet_plane,0.81,1.0
jet_plane,0.8200000000000001,1.0
jet_plane,0.8300000000000001,1.0
jet_plane,0.84,1.0
jet_plane,0.85,1.0
jet_plane,0.86,1.0
jet_plane,0.87,1.0
jet_plane,0.88,1.0
jet_plane,0.89,1.0
jet_plane,0.9,1.0
jet_plane,0.91,1.0
jet_plane,0.92,1.0
jet_plane,0.93,1.0
jet_plane,0.9400000000000001,1.0
jet_plane,0.9500000000000001,1.0
jet_plane,0.96,1.0
jet_plane,0.97,1.0
jet_plane,0.98,1.0
jet_plane,0.99,1.0
jet_plane,1.0,1.0
large_launcher,0.0,1.0
large_launcher,0.01,1.0
large_launcher,0.02,1.0
large_launcher,0.03,1.0
large_launcher,0.04,1.0
large_launcher,0.05,1.0
large_launcher,0.06,1.0
large_launcher,0.07,1.0
large_launcher,0.08,1.0
large_launcher,0.09,1.0
large_launcher,0.1,1.0
large_launcher,0.11,1.0
large_launcher,0.12,1.0
large_launcher,0.13,1.0
large_launcher,0.14,1.0
large_launcher,0.15,1.0
large_launcher,0.16,1.0
large_launcher,0.17,1.0
large_launcher,0.18,1.0
large_launcher,0.19,1.0
large_launcher,0.2,1.0
large_launcher,0.21,1.0
large_launcher,0.22,1.0
large_launcher,0.23,1.0
large_launcher,0.24,1.0
large_launcher,0.25,1.0
large_launcher,0.26,1.0
large_launcher,0.27,1.0
large_launcher,0.28,1.0
large_launcher,0.29,1.0
large_launcher,0.3,1.0
large_launcher,0.31,1.0
large_launcher,0.32,1.0
large_launcher,0.33,1.0
large_launcher,0.34,1.0
large_launcher,0.35000000000000003,1.0
large_launcher,0.36,1.0
large_launcher,0.37,1.0
large_launcher,0.38,1.0
large_launcher,0.39,1.0
large_launcher,0.4,1.0
large_launcher,0.41000000000000003,1.0
large_launcher,0.42,1.0
large_launcher,0.43,1.0
large_launcher,0.44,1.0
large_launcher,0.45,1.0
large_launcher,0.46,1.0
large_launcher,0.47000000000000003,1.0
large_launcher,0.48,1.0
large_launcher,0.49,1.0
large_launcher,0.5,1.0
large_launcher,0.51,1.0
large_launcher,0.52,1.0
large_launcher,0.53,1.0
large_launcher,0.54,1.0
large_launcher,0.55,1.0
large_launcher,0.56,1.0
large_launcher,0.5700000000000001,1.0
large_launcher,0.58,1.0
large_launcher,0.59,1.0
large_launcher,0.6,1.0
large_launcher,0.61,1.0
large_launcher,0.62,1.0
large_launcher,0.63,1.0
large_launcher,0.64,1.0
large_launcher,0.65,1.0
large_launcher,0.66,1.0
large_launcher,0.67,1.0
large_launcher,0.68,1.0
large_launcher,0.6900000000000001,1.0
large_launcher,0.7000000000000001,1.0
large_launcher,0.71,1.0
large_launcher,0.72,1.0
large_launcher,0.73,1.0
large_launcher,0.74,1.0
large_launcher,0.75,1.0
large_launcher,0.76,1.0
large_launcher,0.77,1.0
large_launcher,0.78,1.0
large_launcher,0.79,1.0
large_launcher,0.8,1.0
large_launcher,0.81,1.0
large_launcher,0.8200000000000001,1.0
large_launcher,0.8300000000000001,1.0
large_launcher,0.84,1.0
large_launcher,0.85,1.0
large_launcher,0.86,1.0
large_launcher,0.87,1.0
large_launcher,0.88,1.0
large_launcher,0.89,1.0
large_launcher,0.9,1.0
large_launcher,0.91,1.0
large_launcher,0.92,1.0
large_launcher,0.93,1.0
large_launcher,0.9400000000000001,1.0
large_launcher,0.9500000000000001,1.0
large_launcher,0.96,1.0
large_launcher,0.97,1.0
large_launcher,0.98,1.0
large_launcher,0.99,1.0
large_launcher,1.0,1.0
large_tower,0.0,1.0
large_tower,0.01,1.0
large_tower,0.02,1.0
large_tower,0.03,1.0
large_tower,0.04,1.0
large_tower,0.05,1.0
large_tower,0.06,1.0
large_tower,0.07,1.0
large_tower,0.08,1.0
large_tower,0.09,1.0
large_tower,0.1,1.0
large_tower,0.11,1.0
large_tower,0.12,1.0
large_tower,0.13,1.0
large_tower,0.14,1.0
large_tower,0.15,1.0
large_tower,0.16,1.0
large_tower,0.17,1.0
large_tower,0.18,1.0
large_tower,0.19,1.0
large_tower,0.2,1.0
large_tower,0.21,1.0
large_tower,0.22,1.0
large_tower,0.23,1.0
large_tower,0.24,1.0
large_tower,0.25,1.0
large_tower,0.26,1.0
large_tower,0.27,1.0
large_tower,0.28,1.0
large_tower,0.29,1.0
large_tower,0.3,1.0
large_tower,0.31,1.0
large_tower,0.32,1.0
large_tower,0.33,1.0
large_tower,0.34,1.0
large_tower,0.35000000000000003,1.0
large_tower,0.36,1.0
large_tower,0.37,1.0
large_tower,0.38,1.0
large_tower,0.39,1.0
large_tower,0.4,1.0
large_tower,0.41000000000000003,1.0
large_tower,0.42,1.0
large_tower,0.43,1.0
large_tower,0.44,1.0
large_tower,0.45,1.0
large_tower,0.46,1.0
large_tower,0.47000000000000003,1.0
large_tower,0.48,1.0
large_tower,0.49,1.0
large_tower,0.5,1.0
large_tower,0.51,1.0
large_tower,0.52,1.0
large_tower,0.53,1.0
large_tower,0.54,1.0
large_tower,0.55,1.0
large_tower,0.56,1.0
large_tower,0.5700000000000001,1.0
large_tower,0.58,1.0
large_tower,0.59,1.0
large_tower,0.6,1.0
large_tower,0.61,1.0
large_tower,0.62,1.0
large_tower,0.63,1.0
large_tower,0.64,1.0
large_tower,0.65,1.0
large_tower,0.66,1.0
large_tower,0.67,1.0
large_tower,0.68,1.0
large_tower,0.6900000000000001,1.0
large_tower,0.7000000000000001,1.0
large_tower,0.71,1.0
large_tower,0.72,1.0
large_tower,0.73,1.0
large_tower,0.74,1.0
large_tower,0.75,1.0
large_tower,0.76,1.0
large_tower,0.77,1.0
large_tower,0.78,1.0
large_tower,0.79,1.0
large_tower,0.8,1.0
large_tower,0.81,1.0
large_tower,0.8200000000000001,1.0
large_tower,0.8300000000000001,1.0
large_tower,0.84,1.0
large_tower,0.85,1.0
large_tower,0.86,1.0
large_tower,0.87,1.0
large_tower,0.88,1.0
large_tower,0.89,1.0
large_tower,0.9,1.0
large_tower,0.91,1.0
large_tower,0.92,1.0
large_tower,0.93,1.0
large_tower,0.9400000000000001,1.0
large_tower,0.9500000000000001,0.0
large_tower,0.96,0.0
large_tower,0.97,0.0
large_tower,0.98,0.0
large_tower,0.99,0.0
large_tower,1.0,0.0
medium_launcher,0.0,1.0
medium_launcher,0.01,1.0
medium_launcher,0.02,1.0
medium_launcher,0.03,1.0
medium_launcher,0.04,1.0
medium_launcher,0.05,1.0
medium_launcher,0.06,1.0
medium_launcher,0.07,1.0
medium_launcher,0.08,1.0
medium_launcher,0.09,1.0
medium_launcher,0.1,1.0
medium_launcher,0.11,1.0
medium_launcher,0.12,1.0
medium_launcher,0.13,1.0
medium_launcher,0.14,1.0
medium_launcher,0.15,1.0
medium_launcher,0.16,1.0
medium_launcher,0.17,1.0
medium_launcher,0.18,1.0
medium_launcher,0.19,1.0
medium_launcher,0.2,1.0
medium_launcher,0.21,1.0
medium_launcher,0.22,1.0
medium_launcher,0.23,1.0
medium_launcher,0.24,1.0
medium_launcher,0.25,1.0
medium_launcher,0.26,1.0
medium_launcher,0.27,1.0
medium_launcher,0.28,1.0
medium_launcher,0.29,1.0
medium_launcher,0.3,1.0
medium_launcher,0.31,1.0
medium_launcher,0.32,1.0
medium_launcher,0.33,1.0
medium_launcher,0.34,1.0
medium_launcher,0.35000000000000003,1.0
medium_launcher,0.36,1.0
medium_launcher,0.37,1.0
medium_launcher,0.38,1.0
medium_launcher,0.39,1.0
medium_launcher,0.4,1.0
medium_launcher,0.41000000000000003,0.7142857142857143
medium_launcher,0.42,0.7142857142857143
medium_launcher,0.43,0.7142857142857143
medium_launcher,0.44,0.7142857142857143
medium_launcher,0.45,0.7142857142857143
medium_launcher,0.46,0.7142857142857143
medium_launcher,0.47000000000000003,0.7142857142857143
medium_launcher,0.48,0.7142857142857143
medium_launcher,0.49,0.7142857142857143
medium_launcher,0.5,0.7142857142857143
medium_launcher,0.51,0.375
medium_launcher,0.52,0.375
medium_launcher,0.53,0.375
medium_launcher,0.54,0.375
medium_launcher,0.55,0.375
medium_launcher,0.56,0.375
medium_launcher,0.5700000000000001,0.375
medium_launcher,0.58,0.375
medium_launcher,0.59,0.375
medium_launcher,0.6,0.375
