--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   9    0            0     41575768       220508      3936220    0    0     0     1    3    1  10   0  90   0   0
   9    0            0     41576560       220508      3936320    0    0     0     0 3001  636  30   0  70   0   0
   9    0            0     41575304       220508      3936320    0    0     0     0 3190  924  30   0  69   0   0
   9    0            0     41575304       220508      3936320    0    0     0    68 2788  399  30   0  70   0   0
   9    0            0     41574956       220508      3936340    0    0     0    76 3628 1476  30   1  69   0   0
   9    0            0     41575212       220508      3936340    0    0     0     0 2779  394  30   0  70   0   0
  10    0            0     41574864       220508      3936340    0    0     0     0 2832  454  30   0  70   0   0
   9    0            0     41574764       220508      3936340    0    0     0     0 2829  581  30   0  70   0   0
   9    0            0     41574968       220508      3936340    0    0     0    44 2823  433  30   0  70   0   0
   9    0            0     41575988       220508      3936340    0    0     0     4 2912  513  30   0  70   0   0
   8    0            0     41575988       220508      3936340    0    0     0     0 2583  441  29   0  71   0   0
   8    0            0     41574788       220508      3936340    0    0     0     0 2880  709  27   0  73   0   0
   8    0            0     41574272       220508      3936388    0    0     0     0 2735  553  27   0  73   0   0
   8    0            0     41574060       220508      3936388    0    0     0   124 3289 1071  27   1  72   0   0
   7    0            0     41574312       220508      3936388    0    0     0     0 2491  511  26   0  74   0   0
   7    0            0     41574216       220508      3936388    0    0     0     0 2465  690  23   0  76   0   0
   5    0            0     41573812       220508      3936484    0    0     0     8 2493  768  21   0  79   0   0
   5    0            0     41573812       220508      3936484    0    0     0     0 1776  475  17   0  83   0   0
   4    0            0     41574524       220508      3936484    0    0     0    72 1896  567  16   0  84   0   0
   4    0            0     41574020       220508      3936484    0    0     0   228 1370  288  13   0  87   0   0
   4    0            0     41572552       220508      3936580    0    0     0     0 1656  524  13   0  86   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   5    0            0     41572552       220508      3936580    0    0     0     0 1239  201  13   0  87   0   0
   4    0            0     41571812       220508      3936580    0    0     0     0 1519  421  13   0  86   0   0
   4    0            0     41571812       220508      3936580    0    0     0    40 1317  316  13   0  87   0   0
   4    0            0     41571340       220508      3936580    0    0     0     0 1517  474  13   0  86   0   0
   4    0            0     41572556       220508      3936588    0    0     0     0 2730 1928  14   0  86   0   0
   4    0            0     41572556       220508      3936588    0    0     0     0 1261  243  13   0  87   0   0
   4    0            0     41572564       220508      3936588    0    0     0     0 1568  593  13   0  86   0   0
   4    0            0     41572196       220508      3936628    0    0     0   136 1340  314  13   0  86   0   0
   4    0            0     41572952       220508      3936628    0    0     0     0 1489  406  13   0  86   0   0
   4    0            0     41572952       220508      3936628    0    0     0     0 1269  253  13   0  87   0   0
   2    0            0     41571492       220512      3936624    0    0     0     0 1283  588   9   0  91   0   0
   2    0            0     41570988       220512      3936732    0    0     0     0  829  317   7   0  93   0   0
   2    0            0     41571240       220512      3936732    0    0     0    72  973  400   7   0  93   0   0
   2    0            0     41571548       220512      3936732    0    0     0     0 1063  587   7   0  93   0   0
   1    0            0     41571548       220512      3936732    0    0     0     0  699  293   5   0  95   0   0
   1    0            0     41571744       220512      3936784    0    0     0   164  785  463   3   0  96   0   0
   1    0            0     41571744       220512      3936784    0    0     0     0  562  335   3   0  97   0   0
   1    0            0     41571996       220512      3936784    0    0     0    52  744  425   3   0  96   0   0
   1    0            0     41571744       220512      3936784    0    0     0     0  490  212   3   0  97   0   0
   1    0            0     41571500       220512      3936784    0    0     0     0  818  497   3   0  96   0   0
   1    0            0     41571500       220512      3936784    0    0     0     0  528  258   3   0  97   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   2    0            0     41571248       220512      3936784    0    0     0     0  730  438   3   0  96   0   0
   1    0            0     41571752       220512      3936784    0    0     0    52  870  580   4   0  96   0   0
   2    0            0     41572004       220512      3936784    0    0     0     0  537  272   3   0  97   0   0
   1    0            0     41572256       220512      3936784    0    0     0     0  753  428   3   0  96   0   0
   1    0            0     41570900       220512      3936784    0    0     0     0  796  508   3   0  96   0   0
   1    0            0     41571432       220512      3936784    0    0     0     0  923  772   4   0  96   0   0
   1    0            0     41571032       220512      3936784    0    0     0    20  600  337   3   0  96   0   0
   1    0            0     41570276       220512      3936784    0    0     0     0  745  372   3   0  96   0   0
   1    0            0     41570276       220512      3936784    0    0     0     0  585  378   3   0  97   0   0
   3    0            0     41568256       220512      3936784    0    0     0     0 1183 1161   4   0  96   0   0
   1    0            0     41569204       220512      3936784    0    0     0     0 1227 1016   4   0  96   0   0
   1    0            0     41569204       220512      3936784    0    0     0     0  547  305   3   0  97   0   0
   1    0            0     41569204       220512      3936784    0    0     0    20  800  547   3   0  96   0   0
   1    0            0     41568740       220512      3936788    0    0     0     0 2124 2591   4   0  96   0   0
   1    0            0     41568488       220512      3936784    0    0     0     0  928  657   4   0  96   0   0
   1    0            0     41567984       220512      3936784    0    0     0     0 1193 1047   4   0  96   0   0
   1    0            0     41567788       220512      3936784    0    0     0     0  978  577   3   0  96   0   0
   1    0            0     41567316       220512      3936784    0    0     0    48  879  602   3   0  96   0   0
   1    0            0     41567068       220512      3936784    0    0     0     0  887  641   3   0  96   0   0
   1    0            0     41565016       220512      3936784    0    0     0     0  975  718   3   0  96   0   0
   1    0            0     41565268       220512      3936784    0    0     0     4  975  773   4   0  96   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   2    0            0     41564276       220512      3936784    0    0     0     0 1227  890   4   0  96   0   0
   1    0            0     41564024       220512      3936788    0    0     0    64  965  719   4   0  96   0   0
   1    0            0     41563520       220512      3936788    0    0     0     0  994  749   3   0  96   0   0
   1    0            0     41563520       220512      3936788    0    0     0     0  816  795   3   0  96   0   0
   1    0            0     41564080       220512      3936788    0    0     0     0 1424 1346   4   0  96   0   0
   1    0            0     41564788       220512      3936788    0    0     0     0  769  620   3   0  97   0   0
   1    0            0     41564032       220512      3936788    0    0     0    28  939  519   3   0  96   0   0
   1    0            0     41563868       220512      3936788    0    0     0     0  939  529   3   0  96   0   0
   1    0            0     41563772       220512      3936788    0    0     0     0  712  335   3   0  96   0   0
   1    0            0     41563076       220512      3936792    0    0     0     0 1444 1067   4   0  96   0   0
   1    0            0     41563328       220512      3936792    0    0     0     0  587  362   3   0  97   0   0
   1    0            0     41563836       220512      3936792    0    0     0    36  990  566   3   0  96   0   0
   1    0            0     41563344       220512      3936808    0    0     0     0  786  451   3   0  97   0   0
   1    0            0     41562852       220512      3936808    0    0     0     0 1187  771   4   0  96   0   0
   1    0            0     41562604       220512      3936808    0    0     0     0 1300 1079   4   0  96   0   0
   1    0            0     41561864       220512      3936808    0    0     0     0  898  677   3   0  96   0   0
   1    0            0     41561768       220512      3936808    0    0     0    20  965  768   3   0  96   0   0
   1    0            0     41561864       220512      3936808    0    0     0     8  638  389   3   0  97   0   0
   1    0            0     41560860       220512      3936808    0    0     0     0 1018  558   3   0  96   0   0
   1    0            0     41560164       220512      3936808    0    0     0     0 1206  965   4   0  96   0   0
   1    0            0     41560372       220512      3936808    0    0     0     0  871  653   3   0  96   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   2    0            0     41562128       220512      3936812    0    0     0    68  827  480   3   0  96   0   0
   1    0            0     41559936       220512      3936812    0    0     0     0 2177 2309   4   0  96   0   0
   1    0            0     41559440       220512      3936812    0    0     0     0  720  380   3   0  96   0   0
   1    0            0     41559700       220512      3936812    0    0     0     0 1091  635   3   0  96   0   0
   1    0            0     41557520       220512      3936812    0    0     0     0 1208  858   4   0  96   0   0
   1    0            0     41557520       220512      3936812    0    0     0    44  610  407   3   0  96   0   0
   1    0            0     41556600       220512      3936812    0    0     0    32 1309  814   3   0  96   0   0
   1    0            0     41556096       220512      3936812    0    0     0     0  805  481   3   0  96   0   0
   1    0            0     41556936       220512      3936812    0    0     0     0 1276  709   3   0  96   0   0
   1    0            0     41556184       220512      3936812    0    0     0     0  814  613   3   0  96   0   0
   1    0            0     41556188       220512      3936812    0    0     0    20  903  668   4   0  96   0   0
   1    0            0     41556440       220512      3936812    0    0     0   160  731  533   3   0  96   0   0
   1    0            0     41557196       220512      3936812    0    0     0     0  982  639   4   0  96   0   0
   1    0            0     41557512       220512      3936812    0    0     0     0 1017  617   3   0  96   0   0
   1    0            0     41557512       220512      3936816    0    0     0     0  527  252   3   0  97   0   0
   1    0            0     41556756       220512      3936816    0    0     0     0  782  403   3   0  96   0   0
   1    0            0     41557200       220512      3936816    0    0     0     0  606  335   3   0  97   0   0
   1    0            0     41556952       220512      3936824    0    0     0    68  980  537   4   0  96   0   0
   1    0            0     41555968       220512      3936824    0    0     0     0  695  322   3   0  97   0   0
   1    0            0     41556688       220512      3936824    0    0     0     0  739  429   3   0  97   0   0
   1    0            0     41556688       220512      3936824    0    0     0     0  544  275   3   0  97   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   2    0            0     41555684       220512      3936824    0    0     0     0  725  412   3   0  96   0   0
   1    0            0     41555896       220512      3936824    0    0     0    16  770  399   3   0  96   0   0
   1    0            0     41555896       220512      3936824    0    0     0     0  583  333   3   0  97   0   0
   1    0            0     41556440       220512      3936824    0    0     0     0  831  493   3   0  96   0   0
   1    0            0     41556692       220512      3936824    0    0     0     0  488  207   3   0  97   0   0
   1    0            0     41556444       220512      3936824    0    0     0     8  741  449   3   0  96   0   0
   1    0            0     41556444       220512      3936824    0    0     0    52  556  228   3   0  97   0   0
   1    0            0     41556696       220512      3936824    0    0     0     0  834  473   3   0  96   0   0
   1    0            0     41556696       220512      3936824    0    0     0     0  509  231   3   0  97   0   0
   1    0            0     41555944       220512      3936824    0    0     0     0  713  391   3   0  96   0   0
   1    0            0     41555788       220512      3936844    0    0     0     4 2115 2271   4   0  96   0   0
   1    0            0     41556040       220512      3936840    0    0     0    40  588  322   3   0  97   0   0
   2    0            0     41555844       220512      3936840    0    0     0     0  852  537   3   0  96   0   0
   1    0            0     41556044       220512      3936840    0    0     0     0  483  206   3   0  97   0   0
   1    0            0     41555796       220512      3936840    0    0     0     0  711  401   3   0  96   0   0
   1    0            0     41556048       220512      3936840    0    0     0     0  558  292   3   0  97   0   0
   1    0            0     41555196       220512      3936840    0    0     0    44  820  529   3   0  96   0   0
   1    0            0     41555196       220512      3936840    0    0     0     0  499  222   3   0  97   0   0
   1    0            0     41556304       220512      3936840    0    0     0     0  886  520   4   0  96   0   0
   1    0            0     41555700       220512      3936840    0    0     0     0  887  603   3   0  96   0   0
   1    0            0     41555700       220512      3936840    0    0     0     0  541  242   3   0  97   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   2    0            0     41555600       220512      3936840    0    0     0    32  772  383   3   0  96   0   0
   1    0            0     41555600       220512      3936840    0    0     0     0  584  357   3   0  97   0   0
   1    0            0     41555808       220512      3936840    0    0     0     0  809  460   3   0  96   0   0
   1    0            0     41555808       220512      3936840    0    0     0     0  755  465   4   0  96   0   0
   1    0            0     41555980       220512      3936844    0    0     0     0  957  571   4   0  96   0   0
   2    0            0     41555980       220512      3936844    0    0     0    36  778  399   4   0  96   0   0
   1    0            0     41555744       220512      3936916    0    0     0     0 1079  637   4   0  96   0   0
   2    0            0     41556696       220512      3936948    0    0     0     0 1156  661   4   0  96   0   0
   1    0            0     41556696       220512      3936948    0    0     0     0  750  371   4   0  96   0   0
   1    0            0     41555900       220512      3936948    0    0     0     0 1029  537   4   0  96   0   0
   2    0            0     41556280       220512      3937032    0    0     0    20  895  455   4   0  95   0   0
   1    0            0     41557028       220512      3937056    0    0     0     0 1026  595   4   0  96   0   0
   2    0            0     41557028       220512      3937056    0    0     0     0  765  396   4   0  96   0   0
   1    0            0     41556652       220512      3937056    0    0     0     0 1019  554   4   0  96   0   0
   2    0            0     41556484       220512      3937144    0    0     0     4  844  511   4   0  96   0   0
   1    0            0     41556892       220512      3937164    0    0     0   108 1047  623   4   0  96   0   0
   1    0            0     41556536       220512      3937188    0    0     0     0  994  549   4   0  96   0   0
   1    0            0     41554896       220512      3937188    0    0     0     0  754  360   4   0  96   0   0
   1    0            0     41555288       220512      3937236    0    0     0     0 1048  606   4   0  96   0   0
   1    0            0     41556424       220512      3937264    0    0     0     0 2118 2264   4   0  95   0   0
   1    0            0     41556212       220512      3937264    0    0     0    44 1095  704   4   0  95   0   0
--procs-- -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
   r    b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
   2    0            0     41555764       220512      3937264    0    0     0     0  757  399   4   0  96   0   0
   1    0            0     41556524       220512      3937336    0    0     0     0 1036  635   4   0  96   0   0
   2    0            0     41556228       220512      3937368    0    0     0     0  717  342   4   0  96   0   0
   1    0            0     41556076       220512      3937368    0    0     0     0  939  549   4   0  96   0   0
   2    0            0     41555300       220512      3937368    0    0     0    44 1030  652   4   0  95   0   0
   1    0            0     45415060       220516      3937488    0    0     0   592 10118 9202  20   2  77   1   0
   0    1            0     45413328       220516      3937488    0    0     0   964 1521 1415   1   0  96   3   0
 292    0            0     44962512       220524      3937508    0    0     0   832 5049 4984  41   2  55   2   0
